feature_dim,lda_components,classifier,seed,accuracy,projection_sec,lda_fit_sec,lda_transform_train_sec,lda_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
512,40,sgd,2,0.2682,0.0,0.8657340420177206,0.028510041011031717,0.009401625022292137,0.7910509589710273,0.0024219999904744327,1.6977796669816598
512,80,logistic,2,0.422,0.0,0.7878876670147292,0.026342624973040074,0.005342792021110654,3.9394238750101067,0.006250375008676201,4.765820708009414
512,80,sgd,2,0.4052,0.0,0.8000429999665357,0.037305083009414375,0.008509041974321008,1.2307090000249445,0.002985167026054114,2.07986920903204
512,99,logistic,2,0.4263,0.0,0.8654022919945419,0.02688995801145211,0.015987000020686537,4.1526972919818945,0.009040916978847235,5.070551874989178
512,99,sgd,2,0.413,0.0,0.9033190829795785,0.029433083022013307,0.01136925001628697,1.5211993330158293,0.0033631669939495623,2.469354375032708
256,2,logistic,2,0.0822,0.14028533402597532,0.38073620799696073,0.012973667006008327,0.005463582987431437,2.5511741249938495,0.01423058402724564,3.106290501076728
256,2,sgd,2,0.057,0.14028533402597532,0.3914544580038637,0.014335124986246228,0.005193624994717538,0.45834208303131163,0.0025143329985439777,1.012682667991612
256,5,logistic,2,0.1668,0.14028533402597532,0.37160404201131314,0.014097250008489937,0.003437291015870869,3.231519082968589,0.006296792009379715,3.7685825010412373
256,5,sgd,2,0.1125,0.14028533402597532,0.3911751250270754,0.01443708298029378,0.00793325004633516,0.44166358397342265,0.0024400000111199915,0.9982993750018068
256,10,logistic,2,0.232,0.14028533402597532,0.3579180419910699,0.014485666994005442,0.0038185000303201377,3.405671834014356,0.005972874991130084,3.928660959005356
256,10,sgd,2,0.1632,0.14028533402597532,0.3685695420135744,0.016002167016267776,0.004209916980471462,0.48581395897781476,0.002713833993766457,1.018008999992162
256,20,logistic,2,0.3213,0.14028533402597532,0.3678587499889545,0.01612104201922193,0.005351250001695007,2.9686997499666177,0.0042830840102396905,3.5029332090052776
256,20,sgd,2,0.2205,0.14028533402597532,0.356295624980703,0.01536624995060265,0.0037066660006530583,0.5914438750478439,0.0023305409704335034,1.1097469170344993
256,40,logistic,2,0.386,0.14028533402597532,0.3502174169989303,0.014767166983801872,0.003113833023235202,3.2819016249850392,0.007980042020790279,3.7989179170690477
256,40,sgd,2,0.2786,0.14028533402597532,0.36992220900719985,0.01428345899330452,0.003470083000138402,0.7660184589913115,0.0024265829706564546,1.297157876077108
256,80,logistic,2,0.4179,0.14028533402597532,0.3400267909746617,0.013172708975616843,0.004255542007740587,4.0384305830230005,0.005426165997050703,4.5450875840033405
256,80,sgd,2,0.3899,0.14028533402597532,0.35770791600225493,0.01724629197269678,0.0034349579946137965,1.195011625008192,0.0028454589773900807,1.7170906250248663
256,99,logistic,2,0.4242,0.14028533402597532,0.3796838750131428,0.014024082978721708,0.004416708019562066,4.096046250022482,0.005332500033546239,4.6403005420579575
256,99,sgd,2,0.4021,0.14028533402597532,0.3691403340199031,0.013247624970972538,0.003242042032070458,1.4841676249634475,0.0023633750388398767,2.013314376003109
512,2,logistic,3,0.0846,0.0,0.8665814169798978,0.030118082999251783,0.007193624973297119,2.409693708003033,0.004483374999836087,3.3184131250018254
512,2,sgd,3,0.0629,0.0,0.7667020420194604,0.02687845897162333,0.01478441699873656,0.4559834999963641,0.0021312919561751187,1.2668217080063187
512,5,logistic,3,0.1652,0.0,0.8778774589882232,0.032237500010523945,0.007010833011008799,3.141907082987018,0.0061865830211900175,4.065877874963917
512,5,sgd,3,0.1274,0.0,0.8624518329743296,0.027119332982692868,0.012539750023279339,0.46175012504681945,0.0021509579964913428,1.3664719999651425
512,10,logistic,3,0.2411,0.0,0.7821061249705963,0.03375541704008356,0.005201500025577843,3.7273016659892164,0.008361249987501651,4.561620207969099
