method,components,seed,accuracy,reduction_fit_sec,reduction_transform_train_sec,reduction_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
rp,2,3,0.0431,1.9355553339701146,0.343039833009243,0.6234695829916745,9.049792292003985,0.04895495797973126,12.000811999954749
rp,2,4,0.0372,0.4188154580187984,0.022596833005081862,0.15818808297626674,6.155074542039074,0.07340495800599456,6.8280798740452155
rp,5,0,0.0704,0.29797241697087884,0.015611624985467643,0.07475041697034612,8.1110702920123,0.3062637909897603,8.805668541928753
rp,5,1,0.0837,0.9014767080079764,0.08337954198941588,0.37356633302988485,12.748187124961987,0.2805708749801852,14.38718058296945
rp,5,2,0.0919,0.5307254589861259,0.07219895895104855,0.19906929199350998,7.456254624994472,0.09008087497204542,8.348329209897202
rp,5,3,0.0878,0.8009761669673026,0.018894875014666468,0.13899754197336733,12.300930458004586,0.04556079098256305,13.305359832942486
rp,5,4,0.0949,1.2263095419621095,0.04568179097259417,0.21028658299474046,11.164703957969323,0.2930722080054693,12.940054081904236
rp,10,0,0.1403,2.7666257499950007,0.014556207985151559,0.11936604097718373,6.859901040967088,0.02223508298629895,9.782684122910723
rp,10,1,0.1474,0.07689266704255715,0.01654766598949209,0.028748375014401972,13.597897667030338,0.007657332986127585,13.727743708062917
rp,10,2,0.1514,0.0657770829857327,0.0154876250308007,0.014072083053179085,7.910394082951825,0.009665500023402274,8.01539637404494
rp,10,3,0.1447,0.13828649994684383,0.013658000039868057,0.04372758395038545,9.433747208036948,0.0057264159549959,9.635145707929041
rp,10,4,0.1619,0.027090333052910864,0.011884499981533736,0.008095790981315076,7.9902009590296075,0.008421208010986447,8.045692791056354
rp,20,0,0.2312,0.04175741702783853,0.013292874966282398,0.01031199999852106,11.935647875012364,0.008787041995674372,12.00979720900068
rp,20,1,0.2304,0.06678283400833607,0.015096709015779197,0.0103329160483554,12.954667041951325,0.08398499997565523,13.13086450099945
rp,20,2,0.2244,0.5202032499946654,0.05505712499143556,0.04644737497437745,13.432849750039168,0.033666249946691096,14.088223749946337
rp,20,3,0.2205,0.4366915410500951,0.014412791992072016,0.11090083298040554,11.120523624995258,0.03131066699279472,11.713839458010625
